v,vw,o,c,h,l,t,n,timestamp
28563481.0,336.9814,334.94,336.63,339.03,334.74,1638162000000,361924,2021-11-29 05:00:00
42885609.0,331.867,335.32,330.59,337.78,328.99,1638248400000,466083,2021-11-30 05:00:00
33401146.0,334.3751,335.13,330.08,339.28,329.39,1638334800000,489735,2021-12-01 05:00:00
30704852.0,330.0851,330.3,329.49,333.49,327.8028,1638421200000,435978,2021-12-02 05:00:00
41779279.0,322.6431,331.99,323.01,332.7,318.03,1638507600000,626436,2021-12-03 05:00:00
30032556.0,324.3146,323.95,326.19,327.45,319.23,1638766800000,416525,2021-12-06 05:00:00
31021936.0,334.1083,331.64,334.92,335.8,330.1,1638853200000,418516,2021-12-07 05:00:00
24760988.0,333.395,335.31,334.97,335.5,330.8,1638939600000,354291,2021-12-08 05:00:00
22214157.0,333.901,334.41,333.1,336.489,332.12,1639026000000,323814,2021-12-09 05:00:00
38095694.0,340.3678,334.98,342.54,343.0,334.79,1639112400000,415946,2021-12-10 05:00:00
28899431.0,340.802,340.68,339.4,343.79,339.08,1639371600000,333627,2021-12-13 05:00:00
44438696.0,328.0207,333.22,328.34,334.64,324.11,1639458000000,586397,2021-12-14 05:00:00
35381122.0,330.3825,328.61,334.65,335.19,324.5,1639544400000,459466,2021-12-15 05:00:00
35034831.0,327.6775,335.71,324.9,336.76,323.02,1639630800000,502538,2021-12-16 05:00:00
47883712.0,322.3973,320.88,323.8,324.92,317.25,1639717200000,462554,2021-12-17 05:00:00
28326532.0,319.6158,320.05,319.91,322.8,317.57,1639976400000,437500,2021-12-20 05:00:00
24740597.0,324.8129,323.29,327.29,327.73,319.8,1640062800000,366633,2021-12-21 05:00:00
24831493.0,330.8736,328.3,333.2,333.605,325.75,1640149200000,315700,2021-12-22 05:00:00
19617848.0,334.9327,332.75,334.69,336.39,332.73,1640235600000,244523,2021-12-23 05:00:00
19947029.0,340.5691,335.46,342.45,342.48,335.43,1640581200000,313725,2021-12-27 05:00:00
15661467.0,341.7182,343.15,341.25,343.81,340.32,1640667600000,229689,2021-12-28 05:00:00
15041956.0,341.9364,341.3,341.95,344.3,339.68,1640754000000,223483,2021-12-29 05:00:00
15994471.0,340.8846,341.91,339.32,343.13,338.82,1640840400000,213550,2021-12-30 05:00:00
17995517.0,336.9168,338.51,336.32,339.355,335.85,1640926800000,215861,2021-12-31 05:00:00
28918012.0,333.3801,335.35,334.75,338.0,329.78,1641186000000,395292,2022-01-03 05:00:00
